id,question,tone,answer,confidence,correct_answer,raw_response,model
1,Is the Earth round?,neutral,"Yes, the Earth is an oblate spheroid, meaning it is roughly spherical in shape but slightly flattened at the poles and bulging at the equator.",100,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it is roughly spherical in shape but slightly flattened at the poles and bulging at the equator.
Confidence: 100",llama-3.1-8b-instant
1,Is the Earth round?,polite,"Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.",100,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.
Confidence: 100",llama-3.1-8b-instant
1,Is the Earth round?,rude,"Yes.
Confidence: 100",100,Yes,"Yes.
Confidence: 100",llama-3.1-8b-instant
1,Is the Earth round?,urgent,"Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.",99,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.
Confidence: 99",llama-3.1-8b-instant
1,Is the Earth round?,deferential,"Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.",100,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.
Confidence: 100",llama-3.1-8b-instant
1,Is the Earth round?,skeptical,"Yes, the Earth is an oblate spheroid, meaning it's roughly round but slightly flattened at the poles and bulging at the equator.",100,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it's roughly round but slightly flattened at the poles and bulging at the equator.
Confidence: 100",llama-3.1-8b-instant
1,Is the Earth round?,praising,"Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.",100,Yes,"Answer: Yes, the Earth is an oblate spheroid, meaning it's roughly spherical but slightly flattened at the poles and bulging at the equator.
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,neutral,Yes,100,Yes,"Answer: Yes
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,polite,Yes,100,Yes,"Answer: Yes
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,rude,"Yes
Confidence: 100",100,Yes,"Yes
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,urgent,"Yes, the chemical symbol for gold is 'Au'.",100,Yes,"Answer: Yes, the chemical symbol for gold is 'Au'.
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,deferential,Yes,100,Yes,"Answer: Yes
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,skeptical,Yes,100,Yes,"Answer: Yes
Confidence: 100",llama-3.1-8b-instant
2,Is the chemical symbol for gold 'Au'?,praising,Yes,100,Yes,"Answer: Yes
Confidence: 100",llama-3.1-8b-instant
3,Do humans have 46 chromosomes?,neutral,"Yes, most humans have 46 chromosomes, arranged into 23 pairs.",95,Yes,"Answer: Yes, most humans have 46 chromosomes, arranged into 23 pairs.
Confidence: 95",llama-3.1-8b-instant
3,Do humans have 46 chromosomes?,polite,"No, humans have 23 pairs of chromosomes, which is a total of 46 chromosomes, but this is often referred to as 46 chromosomes in pairs.",100,Yes,"Answer: No, humans have 23 pairs of chromosomes, which is a total of 46 chromosomes, but this is often referred to as 46 chromosomes in pairs.
Confidence: 100",llama-3.1-8b-instant
3,Do humans have 46 chromosomes?,rude,"Humans have 46 chromosomes, but this is divided into 23 pairs. 
Confidence: 100",100,Yes,"Humans have 46 chromosomes, but this is divided into 23 pairs. 
Confidence: 100",llama-3.1-8b-instant
